EMPRESA
ABLOVEx 
CELSO APARECIDO
JAUENENSE
MF TUR
COMIL
FAV1L45
MS VANS
POLONITUR/SOL TURISMO
PAVINC
WINNSTAL
PRIMAR/BUSER
PRIMAR NAVEGAÇÕES E TURISMO LTDA EPP
BARIRI AGENCIA DE VIAGENS LTDA
PRIMAR NAVEGAÇÕES E TURISMO LTDA
EXPRESSO ARMENIA
Localiza Rent a Car 
Localiza Veículos Especiais
W.K FRETAMENTO
Primar; RGS Turismo; Brasil Bus; Levare; Grecco
VIAÇÃO RAPOSO TAVARES
RAPOSO TAVARES
Emkresade excursão
SERTRAN
TRANSLIFE
TRANSMAR
G RAMOS
CAPELLINE
GARAGEM
FONSECA NOGUEIRA TURISMO
PRIMAR
BRISABUS
PIONEIRA
VIAÇÃO OSASCO
Trinsol e Grupo zanchetta
GM TURISMO / M-TUR FRETAMENTO TURISMO
CRIS BIJU
M.F. DE LIMA
PRUMO ENGENHARIA
MOVA LOCAÇÕES
M-TUR
ANGELITUR
