CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MIRASSOL,VOTUPORANGA,3931A,EXPRESSO ITAMARATI S/A,SAO JOSE DO RIO PRETO - SANTA FE DO SUL,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,4889A,EXPRESSO ITAMARATI S/A,SAO PAULO - SANTA FE DO SUL,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,4889B,EXPRESSO ITAMARATI S/A,SAO PAULO - SANTA FE DO SUL,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,4889E,EXPRESSO ITAMARATI S/A,SAO BERNARDO DO CAMPO - SANTA FE DO SUL,Rodoviário Executivo
MIRASSOL,VOTUPORANGA,4889L,EXPRESSO ITAMARATI S/A,SAO BERNARDO DO CAMPO - SANTA FE DO SUL,Rodoviário Leito
MIRASSOL,VOTUPORANGA,7831A,EXPRESSO ITAMARATI S/A,SANTA FE DO SUL - RIBEIRAO PRETO,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,8127A,EXPRESSO ITAMARATI S/A,SAO JOSE DO RIO PRETO - JALES,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,8128A,EXPRESSO ITAMARATI S/A,SAO JOSE DO RIO PRETO - VOTUPORANGA,Semiurbana
MIRASSOL,VOTUPORANGA,8463A,EXPRESSO ITAMARATI S/A,SANTA FE DO SUL - CAMPINAS,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,8463B,EXPRESSO ITAMARATI S/A,SANTA FE DO SUL - CAMPINAS,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,9082A,EXPRESSO ITAMARATI S/A,SÃO PAULO(BARRA FUNDA) - VOTUPORANGA,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,9084A,EXPRESSO ITAMARATI S/A,SAO BERNARDO DO CAMPO - JALES,Rodoviária Convencional
MIRASSOL,VOTUPORANGA,9084L,EXPRESSO ITAMARATI S/A,SÃO PAULO(BARRA FUNDA) - JALES,Rodoviário Leito
MIRASSOLÂNDIA,SÃO JOSÉ DO RIO PRETO,9002A,PEVÊ-TUR TRANSPORTES E TURISMO LTDA,SAO JOSE DO RIO PRETO - MACAUBAS,Semiurbana
MOCOCA,MOJI MIRIM,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
MOCOCA,PORTO FERREIRA,6320A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,RIBEIRÃO PRETO,4736A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - DIVINOLANDIA,Rodoviária Convencional
MOCOCA,RIBEIRÃO PRETO,6320A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,RIBEIRÃO PRETO,8184A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,SANTA CRUZ DA ESPERANÇA,4736A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - DIVINOLANDIA,Rodoviária Convencional
MOCOCA,SANTA CRUZ DA ESPERANÇA,8184A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,SANTA CRUZ DAS PALMEIRAS,6320A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,SANTA RITA DO PASSA QUATRO,6320A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,SÃO JOSÉ DO RIO PARDO,4736A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - DIVINOLANDIA,Rodoviária Convencional
MOCOCA,SÃO PAULO,4319A,VIAÇÃO SANTA CRUZ LTDA,SÃO PAULO (T.TIÊTE) - MOCOCA,Rodoviária Convencional
MOCOCA,SERRA AZUL,4736A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - DIVINOLANDIA,Rodoviária Convencional
MOCOCA,SERRA AZUL,8184A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - MOCOCA,Rodoviária Convencional
MOCOCA,SERRANA,4736A,RAPIDO D OESTE LTDA,RIBEIRAO PRETO - DIVINOLANDIA,Rodoviária Convencional
MOCOCA,TAPIRATIBA,0015A,VIAÇÃO GUAXUPE LTDA ,MOCOCA - TAPIRATIBA,Rodoviária Convencional
MOCOCA,TAPIRATIBA,5636A,VIAÇÃO GUAXUPE LTDA ,MOCOCA - TAPIRATIBA,Rodoviária Convencional
MOGI DAS CRUZES,PRAIA GRANDE,6492A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - RIBEIRAO PIRES,Rodoviária Litorânea
MOGI DAS CRUZES,PRAIA GRANDE,8064A,VIAÇÃO COMETA S/A,MOGI DAS CRUZES - P.GRANDE(V.MIRIM),Rodoviária Litorânea
