CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MATÃO,SÃO CARLOS,4246E,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,SÃO CARLOS,7461A,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviária Convencional
MATÃO,SÃO CARLOS,7461E,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviário Executivo
MATÃO,SÃO CARLOS,8478A,VIAÇÃO DANUBIO AZUL LTDA,BARRETOS - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,SÃO CARLOS,8478E,VIAÇÃO DANUBIO AZUL LTDA,BARRETOS - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,SÃO CARLOS,5846A,VIAÇÃO PIRACICABANA S/A,SÃO PAULO (T.TIÊTE) - NOVO HORIZONTE,Rodoviária Convencional
MATÃO,SÃO CARLOS,5846E,VIAÇÃO PIRACICABANA S/A,SAO BERNARDO DO CAMPO - NOVO HORIZONTE,Rodoviário Executivo
MATÃO,SÃO CARLOS,5848A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,SÃO CARLOS,5848E,VIAÇÃO PIRACICABANA S/A,MONTE ALTO - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,SÃO JOSÉ DO RIO PRETO,5918A,VIAÇÃO PIRACICABANA S/A,ARARAQUARA - SAO JOSE DO RIO PRETO,Rodoviária Convencional
MATÃO,SÃO PAULO,4246A,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
MATÃO,SÃO PAULO,4246E,VIAÇÃO DANUBIO AZUL LTDA,OLIMPIA - SÃO PAULO (T.TIÊTE),Rodoviário Executivo
MATÃO,SÃO PAULO,7461A,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviária Convencional
MATÃO,SÃO PAULO,7461E,VIAÇÃO DANUBIO AZUL LTDA,SÃO PAULO (T.TIÊTE) - GUAIRA,Rodoviário Executivo
MATÃO,SÃO PAULO,8478A,VIAÇÃO DANUBIO AZUL LTDA,BARRETOS - SÃO PAULO (T.TIÊTE),Rodoviária Convencional
