n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
4845;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;SÃO PAULO(BARRA FUNDA) - APIAI;Rodoviária Convencional;Ativa
4856;A;TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;2;SÃO PAULO(BARRA FUNDA) - RIBEIRA;Rodoviária Convencional;Ativa
4856;B;VIAÇÃO GUAXUPE LTDA;1;CACONDE - SAO JOAO DA BOA VISTA;Rodoviária Convencional;Ativa
4856;C;GUERINO SEISCENTO TRANSPORTES S/A;3;BIRIGUI - ARACATUBA;Semiurbana;Ativa
4856;D;PLENA TRANSPORTES LTDA ME;4;JAU - ITAPOLIS;Rodoviária Convencional;Ativa
4856;E;PLENA TRANSPORTES LTDA ME;4;JAU - IBITINGA;Rodoviária Convencional;Ativa
4856;F;VIAÇÃO DANUBIO AZUL LTDA;1;OLIMPIA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
4889;A;VIAÇÃO DANUBIO AZUL LTDA;1;OLIMPIA - SÃO PAULO (T.TIÊTE);Rodoviário Executivo;Ativa
4889;B;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - BAURU;Rodoviária Convencional;Ativa
4889;L;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CABREÚVA(PINHAL);Semiurbana;Ativa
4956;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CABREÚVA(CESP);Semiurbana;Ativa
5008;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CABREÚVA(CAMPING);Semiurbana;Ativa
5052;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CABREUVA;Semiurbana;Ativa
5062;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CABREUVA;Semiurbana;Ativa
5072;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - SAO SEBASTIAO;Rodoviária Litorânea;Ativa
5081;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - UBATUBA;Rodoviária Litorânea;Ativa
5081;E;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;CARAGUATATUBA - SÃO PAULO (T.TIÊTE);Rodoviária Litorânea;Ativa
5081;L;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO;Rodoviária Convencional;Ativa
5084;A;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - MOCOCA;Rodoviária Convencional;Ativa
5121;A;VB TRANSPORTES E TURISMO LTDA;1;CAMPINAS - ITAPETININGA;Rodoviária Convencional;Ativa
5194;A;VIAÇÃO SANTA CRUZ LTDA;1;SÃO PAULO (T.TIÊTE) - TAPIRATIBA;Rodoviária Convencional;Ativa
5194;B;VIAÇÃO PIRACICABANA S/A;3;SÃO PAULO (T.TIÊTE) - SAO PEDRO;Rodoviária Convencional;Ativa
5194;C;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ARACATUBA - DRACENA;Rodoviária Convencional;Ativa
5194;D;VIAÇÃO SANTA CRUZ LTDA;1;CAMPINAS - MOGI GUACU;Rodoviária Convencional;Ativa
5202;A;VIAÇÃO PIRACICABANA S/A;3;MARILIA - BOTUCATU;Rodoviária Convencional;Ativa
5203;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - JACAREI;Rodoviária Convencional;Ativa
5207;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - JACAREI;Rodoviária Convencional;Ativa
5218;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - SAO JOSE DOS CAMPOS;Rodoviária Convencional;Ativa
5232;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - CACAPAVA;Rodoviária Convencional;Ativa
5233;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - TREMEMBE;Rodoviária Convencional;Ativa
5274;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - PINDAMONHANGABA;Rodoviária Convencional;Ativa
5277;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - GUARATINGUETA;Rodoviária Convencional;Ativa
5311;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - CRUZEIRO;Rodoviária Convencional;Ativa
5312;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;GUARULHOS(AER.INT.CUMBICA - CRUZEIRO;Rodoviária Convencional;Ativa
5324;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;GUARULHOS(AER.INT.CUMBICA - SAO JOSE DOS CAMPOS;Rodoviária Convencional;Ativa
5345;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;GUARULHOS(AER.INT.CUMBICA - SAO JOSE DOS CAMPOS;Rodoviário Executivo;Ativa
5347;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;GUARULHOS - SAO JOSE DOS CAMPOS;Rodoviário Executivo;Ativa
5347;B;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;PIQUETE - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
5355;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - LORENA;Rodoviária Convencional;Ativa
5362;A;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - LORENA;Rodoviária Convencional;Ativa
5389;A;EXPRESSO ITAMARATI S/A;4;PONTES GESTAL - TANABI;Semiurbana;Ativa
5389;B;TRANSPORTE COLETIVO CÉLICO EIRELI;4;BIRIGUI - LOURDES;Rodoviária Convencional;Ativa
5441;A;VB TRANSPORTES E TURISMO LTDA;1;INDAIATUBA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
5441;E;VIAÇÃO LIRA LTDA;1;SÃO PAULO (T.TIÊTE) - CAMPINAS;Rodoviária Convencional;Ativa
5574;A;VB TRANSPORTES E TURISMO LTDA;1;CAMPINAS - ITU;Rodoviária Convencional;Ativa
5575;A;RAPIDO FENIX VIAÇÃO LTDA;1;SERRA NEGRA - AGUAS DE LINDOIA;Semiurbana;Ativa
5584;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - AGUAS DE LINDOIA;Semiurbana;Ativa
5584;B;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - AGUAS DE LINDOIA;Semiurbana;Ativa
5592;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - SERRA NEGRA;Semiurbana;Ativa
5593;A;RAPIDO FENIX VIAÇÃO LTDA;1;CAMPINAS - SOCORRO;Rodoviária Convencional;Ativa
5593;E;VIAÇÃO COMETA S/A;5;SÃO PAULO (T.TIÊTE) - FRANCA;Rodoviária Convencional;Ativa
5596;A;TRANSPORTADORA SÃO PEDRO LTDA;2;ITAPETININGA - GUAREI;Rodoviária Convencional;Ativa
5598;A;VIAÇÃO PIRACICABANA S/A;3;PERUIBE - SAO PAULO(T.JABAQUARA);Rodoviária Litorânea;Ativa
5614;A;EXPRESSO INTEGRAÇÃO DO VALE LTDA - EPP;3;CRUZALIA - TARUMA;Semiurbana;Ativa
5624;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
5636;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;PRESIDENTE PRUDENTE - SANTO ANDRE;Rodoviária Convencional;Ativa
5640;A;EMPRESA DE TRANSPORTES ANDORINHA S/A;3;IEPE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
5664;A;VIAÇÃO RAPIDO BRASIL S/A;5;SAO PAULO(T.JABAQUARA) - SAO VICENTE;Rodoviária Litorânea;Ativa
5668;A;VIAÇÃO RAPIDO BRASIL S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(RODOVIARIA);Rodoviária Litorânea;Ativa
5669;A;VIAÇÃO RAPIDO BRASIL S/A;5;SAO PAULO(T.JABAQUARA) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea;Ativa
5670;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - MIRASSOL;Semiurbana;Ativa
5670;E;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - MIRASSOL;Semiurbana;Ativa
5671;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - MIRASSOL;Semiurbana;Ativa
5671;E;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NEVES PAULISTA;Semiurbana;Ativa
5678;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NIPOÃ;Semiurbana;Ativa
5712;A;EXPRESSO ITAMARATI S/A;4;MIRASSOL - NEVES PAULISTA;Semiurbana;Ativa
5712;B;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NEVES PAULISTA;Semiurbana;Ativa
5714;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - MONTE APRAZIVEL;Semiurbana;Ativa
5739;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - DIVINOLANDIA;Rodoviária Convencional;Ativa
5743;A;RAPIDO D OESTE LTDA;1;RIBEIRAO PRETO - CAJURU;Rodoviária Convencional;Ativa
5745;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;ARACATUBA - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
5747;A;AVOA DE CANDIDO MOTA LTDA - EPP;3;ASSIS - CANDIDO MOTA;Semiurbana;Ativa
5768;A;AUTO ÔNIBUS SOAMIN LTDA;5;JUQUITIBA - MIRACATU;Semiurbana;Ativa
5804;A;EXPRESSO ADAMANTINA LTDA;3;MARILIA - DRACENA;Rodoviária Convencional;Ativa
5806;A;EXPRESSO ADAMANTINA LTDA;3;MARILIA - TUPI PAULISTA;Rodoviária Convencional;Ativa
5806;L;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
5845;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - SAO CARLOS;Rodoviária Convencional;Ativa
5846;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;BARIRI - BAURU;Semiurbana;Ativa
5846;E;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;ITAPUI - BAURU;Semiurbana;Ativa
5847;A;EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;3;BAURU - ARARAQUARA;Rodoviária Convencional;Ativa
5848;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAMPO LIMPO PTA.(KRUPP);Semiurbana;Ativa
5848;E;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAMPO LIMPO PAULISTA;Semiurbana;Ativa
5849;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAMPO LIMPO PAULISTA;Semiurbana;Ativa
5849;B;RAPIDO LUXO CAMPINAS LTDA;1;CAMPO LIMPO PAULISTA - VARZEA PAULISTA;Semiurbana;Ativa
5849;C;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - CAMPO LIMPO PAULISTA;Semiurbana;Ativa
5849;D;RAPIDO LUXO CAMPINAS LTDA;1;CAMPO LIMPO PAULISTA - VARZEA PAULISTA;Semiurbana;Ativa
5849;F;EXPRESSO ITAMARATI S/A;4;SANTA FE DO SUL - SAO PAULO;Rodoviária Convencional;Ativa
5850;A;EXPRESSO ITAMARATI S/A;4;SAO PAULO - SANTA FE DO SUL;Rodoviária Convencional;Ativa
5865;A;EXPRESSO ITAMARATI S/A;4;SÃO PAULO(BARRA FUNDA) - SANTA FE DO SUL;Rodoviário Leito;Ativa
5870;A;VIAÇÃO PIRACICABANA S/A;3;SAO PAULO(T.JABAQUARA) - CUBATAO(JD.CASQUEIRO);Rodoviária Litorânea;Ativa
5882;A;VB TRANSPORTES E TURISMO LTDA;1;LIMEIRA - CAMPINAS;Rodoviária Convencional;Ativa
5888;A;RAPIDO FENIX VIAÇÃO LTDA;1;PINHALZINHO - CAMPINAS;Rodoviária Convencional;Ativa
5916;A;EXPRESSO ITAMARATI S/A;4;MONTE ALTO - RIBEIRAO PRETO;Semiurbana;Ativa
5916;B;EXPRESSO ITAMARATI S/A;4;PIRANGI - RIBEIRAO PRETO;Semiurbana;Ativa
5918;A;RAPIDO RIO PARDO TRANSPORTE E TURISMO LTDA-EPP;3;SANTA CRUZ RIO PARDO - BERNARDINO DE CAMPOS;Semiurbana;Ativa
5919;A;VIAÇÃO PIRACICABANA S/A;3;ADAMANTINA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
5920;A;VIAÇÃO PIRACICABANA S/A;3;TUPI PAULISTA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
5921;A;VIAÇÃO PIRACICABANA S/A;3;ADAMANTINA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
5923;A;VIAÇÃO PIRACICABANA S/A;3;TUPI PAULISTA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
5949;A;VIAÇÃO PIRACICABANA S/A;3;TUPI PAULISTA - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
5999;A;EXPRESSO ITAMARATI S/A;4;SANTA FE DO SUL - ILHA SOLTEIRA;Semiurbana;Ativa
6014;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - MARTINOPOLIS;Semiurbana;Ativa
6028;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - INDIANA;Semiurbana;Ativa
6028;B;AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;1;RAFARD - CAPIVARI;Semiurbana;Ativa
6059;A;AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;1;RAFARD - CAPIVARI;Semiurbana;Ativa
6092;A;AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;1;RAFARD - CAPIVARI;Semiurbana;Ativa
6109;A;AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;1;RAFARD - CAPIVARI;Semiurbana;Ativa
6142;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO(BARRA FUNDA) - PIEDADE;Rodoviária Convencional;Ativa
6144;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO(BARRA FUNDA) - TAPIRAI;Rodoviária Convencional;Ativa
6154;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;PRESIDENTE EPITACIO - ILHA SOLTEIRA;Rodoviária Convencional;Ativa
6163;A;VIACAO SC MIRIM GUACU LTDA;1;MOJI MIRIM - MOGI GUACU;Semiurbana;Ativa
6186;A;AUTO VIAÇÃO OURINHOS ASSIS LTDA;3;ASSIS - PORTO LEOPOLDINO;Semiurbana;Ativa
6194;A;VIAÇÃO COMETA S/A;5;SAO PAULO(T.JABAQUARA) - P.GRANDE(V.MIRIM);Rodoviária Litorânea;Ativa
6206;A;EMPRESA PRINCESA DO NORTE S/A;3;SÃO PAULO(BARRA FUNDA) - ITAPORANGA;Rodoviária Convencional;Ativa
6218;A;VIAÇÃO PARATY LTDA;4;ARARAQUARA - RIBEIRAO BONITO;Semiurbana;Ativa
6234;A;EXPRESSO ADAMANTINA LTDA;3;TUPI PAULISTA - PANORAMA;Semiurbana;Ativa
6240;A;EXPRESSO ADAMANTINA LTDA;3;DRACENA - SAO JOAO DO PAU DALHO;Semiurbana;Ativa
6241;A;EXPRESSO ADAMANTINA LTDA;3;DRACENA - MONTE CASTELO;Semiurbana;Ativa
6251;A;VIAÇÃO PARATY LTDA;4;ARARAQUARA - MATAO;Semiurbana;Ativa
6257;A;RAPIDO FENIX VIAÇÃO LTDA;1;ITATIBA - JUNDIAI;Semiurbana;Ativa
6267;A;EXPRESSO ADAMANTINA LTDA;3;DRACENA - PANORAMA;Semiurbana;Ativa
6268;A;EXPRESSO ADAMANTINA LTDA;3;DRACENA - PANORAMA;Semiurbana;Ativa
6276;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - ITAPIRA;Rodoviária Convencional;Ativa
6277;A;AUTO ÔNIBUS CIZINO ARAUJO LTDA;4;ARIRANHA - CATANDUVA;Semiurbana;Ativa
6281;A;VALLESUL TRANSPORTES E TURISMO LTDA;5;PERUIBE - ELDORADO;Rodoviária Litorânea;Ativa
6286;A;VALLESUL TRANSPORTES E TURISMO LTDA;5;REGISTRO - ELDORADO;Rodoviária Convencional;Ativa
6290;A;AUTO VIAÇÃO BRAGANCA LTDA;1;AGUAS DE LINDOIA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6297;A;AUTO VIAÇÃO BRAGANCA LTDA;1;AGUAS DE LINDOIA - SÃO PAULO (T.TIÊTE);Rodoviário Executivo;Ativa
6309;A;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;SÃO PAULO (T.TIÊTE) - JOANOPOLIS;Rodoviária Convencional;Ativa
6309;B;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;ATIBAIA - JOANOPOLIS;Rodoviária Convencional;Ativa
6310;A;VIAÇÃO ATIBAIA SÃO PAULO LTDA;1;GUARULHOS - NAZARE PAULISTA;Semiurbana;Ativa
6311;A;RIBE TRANSPORTE LTDA - EPP;1;JARDINOPOLIS - RIBEIRAO PRETO;Semiurbana;Ativa
6312;A;RIBE TRANSPORTE LTDA - EPP;1;JARDINOPOLIS - RIBEIRAO PRETO;Semiurbana;Ativa
6312;B;EMPRESA DE ÔNIBUS LUCHINI LTDA;3;FAZENDA SANTA ROSA - ASSIS;Semiurbana;Ativa
6313;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO (T.TIÊTE) - DESCALVADO;Rodoviária Convencional;Ativa
6315;A;VIAÇÃO DANUBIO AZUL LTDA;1;SÃO PAULO (T.TIÊTE) - DESCALVADO;Rodoviário Executivo;Ativa
6319;A;VIAÇÃO DANUBIO AZUL LTDA;1;SAO PAULO - TAMBAU;Rodoviária Convencional;Ativa
6319;B;CRISTALENSE TRANSPORTES E TURISMO LTDA;1;FRANCA - SAO JOSE DA BELA VISTA;Semiurbana;Ativa
6320;A;VALLESUL TRANSPORTES E TURISMO LTDA;5;ILHA COMPRIDA - SANTOS;Rodoviária Litorânea;Ativa
6321;A;VB TRANSPORTES E TURISMO LTDA;1;ELIAS FAUSTO - INDAIATUBA;Semiurbana;Ativa
6322;A;VB TRANSPORTES E TURISMO LTDA;1;CAPIVARI - INDAIATUBA;Semiurbana;Ativa
6327;A;VIAÇÃO GUAXUPE LTDA;1;MOCOCA - TAPIRATIBA;Rodoviária Convencional;Ativa
6352;A;AUTO VIAÇÃO OURINHOS ASSIS LTDA;3;SAO PEDRO DO TURVO - OURINHOS;Semiurbana;Ativa
6374;A;EMPRESA PRINCESA DO NORTE S/A;3;AVARE - FARTURA;Semiurbana;Ativa
6376;A;EMPRESA PRINCESA DO NORTE S/A;3;TAQUARITUBA - ITARARE;Rodoviária Convencional;Ativa
6376;E;EMPRESA PRINCESA DO NORTE S/A;3;AVARE - ARANDU;Semiurbana;Ativa
6376;L;EMPRESA PRINCESA DO NORTE S/A;3;FARTURA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
6389;A;EMPRESA PRINCESA DO NORTE S/A;3;FARTURA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
6419;A;EMPRESA PRINCESA DO NORTE S/A;3;FARTURA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
6419;B;EMPRESA PRINCESA DO NORTE S/A;3;FARTURA - SÃO PAULO(BARRA FUNDA);Rodoviário Executivo;Ativa
6421;A;VB TRANSPORTES E TURISMO LTDA;1;JUNDIAI - VINHEDO;Semiurbana;Ativa
6433;A;RAPIDO LUXO CAMPINAS LTDA;1;INDAIATUBA - JUNDIAI;Semiurbana;Ativa
6437;A;RAPIDO LUXO CAMPINAS LTDA;1;INDAIATUBA - ITUPEVA;Semiurbana;Ativa
6459;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - BRAGANCA PAULISTA;Rodoviária Convencional;Ativa
6460;A;AUTO VIAÇÃO BRAGANCA LTDA;1;BRAGANCA PAULISTA - PEDRA BELA;Semiurbana;Ativa
6461;A;AUTO VIAÇÃO OURINHOS ASSIS LTDA;3;OURINHOS - SANTA CRUZ RIO PARDO;Semiurbana;Ativa
6471;A;EMPRESA CURITIBA CERRO AZUL LTDA;2;APIAI - RIBEIRA;Rodoviária Convencional;Ativa
6492;A;RAPIDO FENIX VIAÇÃO LTDA;1;AMPARO - JUNDIAI;Rodoviária Convencional;Ativa
6540;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;NOVA INDEPENDENCIA - ANDRADINA;Semiurbana;Ativa
6546;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;DRACENA - ANDRADINA;Semiurbana;Ativa
6547;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;MOJI MIRIM - LIMEIRA;Rodoviária Convencional;Ativa
6548;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;ENGENHEIRO COELHO - LIMEIRA;Rodoviária Convencional;Ativa
6549;A;EXPRESSO ITAMARATI S/A;4;ILHA SOLTEIRA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
6551;A;EXPRESSO ITAMARATI S/A;4;ILHA SOLTEIRA - SÃO PAULO(BARRA FUNDA);Rodoviário Leito;Ativa
6552;A;VIAÇÃO PIRACICABANA S/A;3;OSASCO - REGINOPOLIS;Rodoviária Convencional;Ativa
6556;A;VIAÇÃO PIRACICABANA S/A;3;SÃO PAULO (T.TIÊTE) - ARARAQUARA;Rodoviária Convencional;Ativa
6562;A;VIAÇÃO PIRACICABANA S/A;3;SÃO PAULO (T.TIÊTE) - NOVO HORIZONTE;Rodoviária Convencional;Ativa
6570;A;VIAÇÃO PIRACICABANA S/A;3;SÃO PAULO (T.TIÊTE) - CRUZ.ROD.NOVA EUROPA;Rodoviária Convencional;Ativa
6580;A;VIAÇÃO PIRACICABANA S/A;3;SÃO PAULO (T.TIÊTE) - ARARAQUARA;Rodoviária Convencional;Ativa
6583;A;VIAÇÃO PIRACICABANA S/A;3;SAO BERNARDO DO CAMPO - NOVO HORIZONTE;Rodoviário Executivo;Ativa
6584;A;VIAÇÃO PIRACICABANA S/A;3;RIBEIRAO PRETO - ARARAQUARA;Rodoviária Convencional;Ativa
6585;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6591;A;VIAÇÃO PIRACICABANA S/A;3;MONTE ALTO - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6598;A;VIAÇÃO PIRACICABANA S/A;3;CRUZ.ROD.NOVA EUROPA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
6603;A;VIAÇÃO PIRACICABANA S/A;3;MONTE ALTO - SÃO PAULO (T.TIÊTE);Rodoviário Executivo;Ativa
6607;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - AMERICO BRASILIENSE;Semiurbana;Ativa
6622;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - AMERICO BRASILIENSE;Semiurbana;Ativa
6629;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - AMERICO BRASILIENSE;Semiurbana;Ativa
6631;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - AMERICO BRASILIENSE;Semiurbana;Ativa
6642;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - AMERICO BRASILIENSE;Semiurbana;Ativa
6708;A;VIAÇÃO PIRACICABANA S/A;3;SAO CARLOS - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
6723;A;EXPRESSO ADAMANTINA LTDA;3;DRACENA - PRESIDENTE EPITACIO;Rodoviária Convencional;Ativa
6734;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;DESCALVADO - SAO CARLOS;Rodoviária Convencional;Ativa
6734;L;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;SÃO PAULO (T.TIÊTE) - CAMPOS DO JORDAO;Rodoviária Convencional;Ativa
6737;A;EMPRESA DE ÔNIBUS PASSARO MARRON S/A;5;GUARULHOS(AER.INT.CUMBICA - CAMPOS DO JORDAO;Rodoviária Convencional;Ativa
6738;A;EXPRESSO ADAMANTINA LTDA;3;PACAEMBU - ADAMANTINA;Semiurbana;Ativa
6741;A;EXPRESSO ADAMANTINA LTDA;3;FLORA RICA - ADAMANTINA;Semiurbana;Ativa
6743;A;VIAÇÃO LUWASA LTDA;4;MARILIA - CATANDUVA;Rodoviária Convencional;Ativa
6745;A;VIAÇÃO LUWASA LTDA;4;MARILIA - CATANDUVA;Rodoviária Convencional;Ativa
6750;A;VIAÇÃO PIRACICABANA S/A;3;ARARAQUARA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
6760;A;VIAÇÃO LUWASA LTDA;4;SALES - CATANDUVA;Semiurbana;Ativa
6766;A;VIAÇÃO LUWASA LTDA;4;SABINO - LINS;Semiurbana;Ativa
6781;A;VIAÇÃO LUWASA LTDA;4;CATANDUVA - ITAJOBI;Semiurbana;Ativa
6782;A;VIAÇÃO LUWASA LTDA;4;CATANDUVA - MARAPUAMA;Semiurbana;Ativa
6784;A;VIAÇÃO LUWASA LTDA;4;CATANDUVA - PALMARES PAULISTA;Semiurbana;Ativa
6785;A;VIAÇÃO LUWASA LTDA;4;PONGAI - JULIO MESQUITA;Semiurbana;Ativa
6792;A;VB TRANSPORTES E TURISMO LTDA;1;RAFARD - PIRACICABA;Rodoviária Convencional;Ativa
6826;A;VB TRANSPORTES E TURISMO LTDA;1;CAPIVARI - PIRACICABA;Rodoviária Convencional;Ativa
6827;A;VIAÇÃO PARATY LTDA;4;SAO CARLOS - ARARAQUARA;Rodoviária Convencional;Ativa
6832;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - NOVA PATRIA;Semiurbana;Ativa
6839;A;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - NOVA PATRIA;Semiurbana;Ativa
6839;B;JANDAIA TRANSPORTES E TURISMO LTDA;3;PRESIDENTE PRUDENTE - SANTO EXPEDITO;Semiurbana;Ativa
6839;C;RAPIDO LUXO CAMPINAS LTDA;1;ITATINGA - RUBIÃO JUNIOR (UNESP);Semiurbana;Ativa
6839;D;RAPIDO LUXO CAMPINAS LTDA;1;AVARE - ITATINGA;Semiurbana;Ativa
6847;A;RAPIDO LUXO CAMPINAS LTDA;1;AVARE - RUBIÃO JUNIOR (UNESP);Semiurbana;Ativa
6858;A;TRANSPORTADORA TURÍSTICA LEONE LTDA;4;JABOTICABAL - PITANGUEIRAS;Semiurbana;Ativa
6858;E;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - TATUI;Rodoviária Convencional;Ativa
6861;A;VIAÇÃO SANTA CRUZ LTDA;1;SAO JOAO DA BOA VISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional;Ativa
