n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
124;L;RAPIDO D OESTE LTDA;1;MORRO AGUDO - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
125;A;RAPIDO D OESTE LTDA;1;PONTAL - MORRO AGUDO;Rodoviária Convencional;Ativa
125;B;RAPIDO D OESTE LTDA;1;VIRADOURO - PITANGUEIRAS;Semiurbana;Ativa
126;A;VIAÇÃO PARATY LTDA;4;JABOTICABAL - GUARIBA;Semiurbana;Ativa
126;B;VIAÇÃO PARATY LTDA;4;RINCAO - MOTUCA;Semiurbana;Ativa
126;C;VIAÇÃO PARATY LTDA;4;JABOTICABAL - GUARIBA;Semiurbana;Ativa
206;A;VIAÇÃO PARATY LTDA;4;ARARAQUARA - RINCAO;Semiurbana;Ativa
210;A;VIAÇÃO PARATY LTDA;4;ARARAQUARA - SANTA LUCIA;Semiurbana;Ativa
211;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - ICEM;Semiurbana;Ativa
212;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NOVA GRANADA;Semiurbana;Ativa
212;B;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - ONDA VERDE;Semiurbana;Ativa
212;C;EXPRESSO ITAMARATI S/A;4;OLIMPIA - GUARACI;Semiurbana;Ativa
212;D;EXPRESSO ITAMARATI S/A;4;OLIMPIA - ALTAIR;Semiurbana;Ativa
280;A;TRANSRAPIDO SÃO FRANCISCO LTDA;4;PALESTINA - SAO JOSE DO RIO PRETO;Semiurbana;Ativa
300;A;VIAÇÃO COMETA S/A;5;RIOLANDIA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
301;A;VIAÇÃO COMETA S/A;5;SAO JOSE DO RIO PRETO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
304;A;VIAÇÃO COMETA S/A;5;SAO JOSE DO RIO PRETO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
305;A;VIAÇÃO COMETA S/A;5;RIOLANDIA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
395;A;VIAÇÃO COMETA S/A;5;RIOLANDIA - SAO JOSE DO RIO PRETO;Rodoviária Convencional;Ativa
411;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;PIRACICABA - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
511;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;PIRACICABA - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
577;A;VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;1;PIRACICABA - RIBEIRAO PRETO;Rodoviária Convencional;Ativa
607;A;VIAÇÃO DANUBIO AZUL LTDA;1;COTIA - SAO ROQUE;Semiurbana;Ativa
607;B;VIAÇÃO DANUBIO AZUL LTDA;1;VARGEM GRANDE PAULISTA - SAO ROQUE;Semiurbana;Ativa
607;C;VIAÇÃO DANUBIO AZUL LTDA;1;ITAPEVI - SAO ROQUE;Semiurbana;Ativa
630;A;VIAÇÃO DANUBIO AZUL LTDA;1;PIRAPORA DO BOM JESUS - SAO ROQUE;Semiurbana;Ativa
728;A;VIAÇÃO DANUBIO AZUL LTDA;1;ARAÇARIGUAMA - SAO ROQUE;Semiurbana;Ativa
737;A;VIAÇÃO DANUBIO AZUL LTDA;1;PIRAPORA DO BOM JESUS - SAO ROQUE;Semiurbana;Ativa
770;A;VIAÇÃO DANUBIO AZUL LTDA;1;ARAÇARIGUAMA - SAO ROQUE;Semiurbana;Ativa
770;B;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;PEREIRA BARRETO - DRACENA;Rodoviária Convencional;Ativa
828;A;VIAÇÃO PARATY LTDA;4;JAU - BORACEIA;Rodoviária Convencional;Ativa
828;B;VIAÇÃO PARATY LTDA;4;JAU - DOIS CORREGOS;Rodoviária Convencional;Ativa
828;E;VIAÇÃO PARATY LTDA;4;JAU - ITAPUI;Rodoviária Convencional;Ativa
828;L;DAIANE GONCALVES DE LIMA LTDA;2;PRAÇA CENTRAL - PRAÇA MATRIZ;Rodoviária Convencional;Ativa
833;A;DAIANE GONCALVES DE LIMA LTDA;2;ITARARE - PRAÇA MATRIZ;Rodoviária Convencional;Ativa
872;A;VIAÇÃO VALE DO TIETE LTDA;2;ITU - JUNDIAI;Rodoviária Convencional;Ativa
935;A;VIAÇÃO SANTA CRUZ LTDA;1;ITAPIRA - MOGI GUACU;Rodoviária Convencional;Ativa
968;A;VIAÇÃO VALE DO TIETE LTDA;2;SALTO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
989;A;EXPRESSO ITAMARATI S/A;4;SAO JOSE DO RIO PRETO - NHANDEARA;Semiurbana;Ativa
990;A;VIAÇÃO COMETA S/A;5;SÃO PAULO(BARRA FUNDA) - SOROCABA;Rodoviária Convencional;Ativa
994;A;VIAÇÃO COMETA S/A;5;SANTO ANDRE - SOROCABA;Rodoviária Convencional;Ativa
994;B;VIAÇÃO COMETA S/A;5;OSASCO - SOROCABA;Rodoviária Convencional;Ativa
1025;A;VIAÇÃO COMETA S/A;5;OSASCO - SOROCABA;Rodoviária Convencional;Ativa
